Models,C-Index
"('pkd_deep', 'pic50_gcnnet')",0.5554806011630863
"('pkd_deep', 'pki_gcnnet')",0.5561516789594608
"('pkd_deep', 'pkd_gat_gcn')",0.5731604556834142
"('pkd_deep', 'pkd_ginconvnet')",0.5555940387787249
"('pkd_deep', 'pic50_deep')",0.5697823311404349
"('pkd_deep', 'pki_deep')",0.584075124881248
"('pkd_deep', 'pki_ginconvnet')",0.5525146069554868
"('pkd_deep', 'pic50_gat_gcn')",0.5664701740201614
"('pkd_deep', 'pic50_ginconvnet')",0.5555922303851222
"('pkd_deep', 'pki_gat_gcn')",0.5698495914346474
"('pkd_deep', 'pkd_gcnnet')",0.596434660070065
"('pkd_deep', 'pkd_mlt-le-gin')",0.5700791587607631
"('pkd_deep', 'pkd_mlt-le-gcn')",0.581054269565733
"('pkd_deep', 'pki_mlt-le-gin')",0.568616786041876
"('pkd_deep', 'pki_mlt-le-gcn')",0.5632144447205183
"('pkd_deep', 'pic50_mlt-le-gin')",0.5612675296395125
"('pkd_deep', 'pic50_mlt-le-gcn')",0.5569844368114413
"('pic50_gcnnet', 'pki_gcnnet')",0.5644075012066109
"('pic50_gcnnet', 'pkd_gat_gcn')",0.5548576815453623
"('pic50_gcnnet', 'pkd_ginconvnet')",0.5316929606619476
"('pic50_gcnnet', 'pic50_deep')",0.558541440420523
"('pic50_gcnnet', 'pki_deep')",0.5610705114471809
"('pic50_gcnnet', 'pki_ginconvnet')",0.5513995519802637
"('pic50_gcnnet', 'pic50_gat_gcn')",0.6265230995515644
"('pic50_gcnnet', 'pic50_ginconvnet')",0.6234169182269288
"('pic50_gcnnet', 'pki_gat_gcn')",0.5714099267893441
"('pic50_gcnnet', 'pkd_gcnnet')",0.5643670655847217
"('pic50_gcnnet', 'pkd_mlt-le-gin')",0.5485685777642634
"('pic50_gcnnet', 'pkd_mlt-le-gcn')",0.5669007365000026
"('pic50_gcnnet', 'pki_mlt-le-gin')",0.5439098079727438
"('pic50_gcnnet', 'pki_mlt-le-gcn')",0.5725886711369103
"('pic50_gcnnet', 'pic50_mlt-le-gin')",0.5638452506583931
"('pic50_gcnnet', 'pic50_mlt-le-gcn')",0.5652979040724176
"('pki_gcnnet', 'pkd_gat_gcn')",0.5546531549769096
"('pki_gcnnet', 'pkd_ginconvnet')",0.5372531184594347
"('pki_gcnnet', 'pic50_deep')",0.5464418882624577
"('pki_gcnnet', 'pki_deep')",0.5717522528399074
"('pki_gcnnet', 'pki_ginconvnet')",0.5867834845457555
"('pki_gcnnet', 'pic50_gat_gcn')",0.5576565536260033
"('pki_gcnnet', 'pic50_ginconvnet')",0.5524244285069443
"('pki_gcnnet', 'pki_gat_gcn')",0.6251001530354423
"('pki_gcnnet', 'pkd_gcnnet')",0.5658041109035822
"('pki_gcnnet', 'pkd_mlt-le-gin')",0.5521583802649527
"('pki_gcnnet', 'pkd_mlt-le-gcn')",0.5565462655448521
"('pki_gcnnet', 'pki_mlt-le-gin')",0.5700913654046328
"('pki_gcnnet', 'pki_mlt-le-gcn')",0.5845572985791071
"('pki_gcnnet', 'pic50_mlt-le-gin')",0.5380284147539599
"('pki_gcnnet', 'pic50_mlt-le-gcn')",0.5434219548334543
"('pkd_gat_gcn', 'pkd_ginconvnet')",0.6144950981472564
"('pkd_gat_gcn', 'pic50_deep')",0.5564728918592107
"('pkd_gat_gcn', 'pki_deep')",0.560272079799363
"('pkd_gat_gcn', 'pki_ginconvnet')",0.5431141486182229
"('pkd_gat_gcn', 'pic50_gat_gcn')",0.5644495644600904
"('pkd_gat_gcn', 'pic50_ginconvnet')",0.5461537523372881
"('pkd_gat_gcn', 'pki_gat_gcn')",0.5710371338744675
"('pkd_gat_gcn', 'pkd_gcnnet')",0.6420976266027635
"('pkd_gat_gcn', 'pkd_mlt-le-gin')",0.5592470767696561
